ICAO  Decription            FRQ      Phone no.          Name
AU46  CTAF                  127.600  0165855254127600  Bocrabee CLS        
AU47  CTAF                  127.600  0165855255127600  Drysdale Strip      
AU48  CTAF                  127.600  0165855256127600  Harrismith Af       
AU49  CTAF                  127.600  0165855257127600  Lake King           
AU50  CTAF                  127.600  0165855348127600  Lake Macleod        
AU53  CTAF                  127.600  0165855351127600  Mundrabilla Road    
AU55  CTAF                  127.600  0165855353127600  Yallingup           
AU60  CTAF                  126.700  0165855448126700  Inverell Pvt Strip  
 AUJ  AUJ AWOS              127.700  0132658574127700  Ambunti             
 AWR  AWR AWOS              127.700  0132658782127700  Awar                
AYBK  BUA AWOS              127.700  0165896675127700  Buka                
AYCH  CMU AWOS              127.700  0165896772127700  Chimbu              
AYDU  DAU AWOS              127.700  0165896885127700  Daru                
AYGA  GOROKA GND            130.750  0165897165130750  Goroka              
AYGA  GOROKA TWR            118.700  0165897165118700  Goroka              
AYGA  AYGA ATIS             122.250  0165897165122250  Goroka              
AYGN  ACTIVATE LIGHTS ONLY MULTICOM  119.600  0165897178119600  Gurney              
AYGN  GURNEY GND            122.900  0165897178122900  Gurney              
AYGN  GURNEY TWR            119.400  0165897178119400  Gurney              
AYGN  AYGN ATIS             122.200  0165897178122200  Gurney              
AYGR  YGRA AWOS             121.950  0165897182121950  Girua               
AYGR  GIRUA GND             128.690  0165897182128690  Girua               
AYGR  GIRUA TWR             130.500  0165897182130500  Girua               
AYKM  KMA AWOS              127.700  0165897577127700  Kerema              
AYKV  KVG AWOS              127.700  0165897586127700  Kavieng             
AYMD  MADANG GND            123.250  0165897768123250  Madang              
AYMD  MADANG MULTICOM       120.100  0165897768120100  Madang              
AYMD  MADANG MULTICOM       126.700  0165897768126700  Madang              
AYMD  MADANG TWR            118.100  0165897768118100  Madang              
AYMD  AYMD ATIS             127.800  0165897768127800  Madang              
AYMD  MADANG MULTICOM       126.900  0165897768126900  Madang              
AYMH  Hagen GND             120.550  0165897772120550  Mount Hagen         
AYMH  HAGEN TWR             120.500  0165897772120500  Mount Hagen         
AYMH  AYMH ATIS             128.400  0165897772128400  Mount Hagen         
AYNZ  LAE AWOS              127.700  0165897890127700  Nadzab              
AYPY  JACKSONS APP          125.800  0165898089125800  Port Moresby Jacksons Intl
AYPY  ATIS                  128.000  0165898089128000  Port Moresby Jacksons Intl
AYPY  ATIS                  117.000  0165898089117000  Port Moresby Jacksons Intl
AYPY  JACKSONS TWR          118.100  0165898089118100  Port Moresby Jacksons Intl
AYPY  JACKSONS GND          121.700  0165898089121700  Port Moresby Jacksons Intl
AYTK  RAB AWOS              127.700  0165898475127700  Tokua               
AYVN  VAI AWOS              127.700  0165898678127700  Vanimo              
AYWK  WWK AWOS              127.700  0165898775127700  Wewak               
 AZB  AZB AWOS              127.700  0132659066127700  Amazon Bay          
 BAA  BAA AWOS              127.700  0132666565127700  Bialla              
BGBW  AFIS                  119.100  0166716687119100  Narsarsuaq          
BGGH  AFIS                  119.100  0166717172119100  Nuuk                
BGSF  APP/DEP               126.200  0166718370126200  Kangerlussuaq       
BGSF  TWR                   118.300  0166718370118300  Kangerlussuaq       
BIRK  TWR                   118.000  0166738275118000  Reykjavik           
BIRK  ATIS                  128.100  0166738275128100  Reykjavik           
BIRK  APP/DEP               119.000  0166738275119000  Reykjavik           
BIRK  GND                   121.700  0166738275121700  Reykjavik           
 BOQ  BOQ AWOS              127.700  0132667981127700  Boku                
 BPD  BPD AWOS              127.700  0132668068127700  Bapi                
 BSP  BSP AWOS              127.700  0132668380127700  Bensbach            
 BUL  BUO AWOS              127.700  0132668576127700  Bulolo              
