File generated by gen_phonebook.pl - 2013-09-05 15:54:57 UTC
8952 airports and 3146 navaids are present in this file (38 freq skipped) 

ICAO  Decription            FRQ      Phone no.          Name
 0F8  AWOS 3                118.325  0132487056118325  WILLIAM R POGUE MUNI
 0F8  CTAF/UNICOM           122.700  0132487056122700  WILLIAM R POGUE MUNI
 0F8  TULSA APP/DEP         124.000  0132487056124000  WILLIAM R POGUE MUNI
 0F9  CTAF                  122.900  0132487057122900  TISHOMINGO AIRPARK  
 0G3  CTAF                  122.900  0132487151122900  TECUMSEH MUNI       
 0G6  CTAF/UNICOM           122.800  0132487154122800  WILLIAMS CO         
 0G6  TOLEDO APP/DEP        134.350  0132487154134350  WILLIAMS CO         
 0G7  CTAF/UNICOM           122.800  0132487155122800  FINGER LAKES RGNL   
 0G7  ROCHESTER APP         119.550  0132487155119550  FINGER LAKES RGNL   
 0G7  SYRACUSE APP DEP      126.125  0132487155126125  FINGER LAKES RGNL   
 0G7  AWOS 3                120.000  0132487155120000  FINGER LAKES RGNL   
 0H1  CTAF                  122.900  0132487249122900  TREGO WAKEENEY      
 0I8  CTAF/UNICOM           122.800  0132487356122800  CYNTHIANA HARRISON CO
 0J4  CAIRNS APP/DEP        133.450  0132487452133450  FLORALA MUNI        
 0J4  CTAF/UNICOM           123.000  0132487452123000  FLORALA MUNI        
 0J6  CAIRNS APP/DEP        125.400  0132487454125400  HEADLAND MUNI       
 0J6  CTAF                  122.900  0132487454122900  HEADLAND MUNI       
 0J9  CTAF                  122.900  0132487457122900  FLYING V            
 0K7  CTAF/UNICOM           122.800  0132487555122800  HUMBOLDT MUNI       
 0L7  CTAF                  122.900  0132487655122900  JEAN                
 0L9  CTAF/UNICOM           122.800  0132487657122800  ECHO BAY            
 0M0  CTAF/UNICOM           122.800  0132487748122800  BILLY FREE MUNI     
 0M1  CTAF/UNICOM           122.800  0132487749122800  SCOTT FLD           
 0M2  CTAF                  122.900  0132487750122900  REELFOOT LAKE       
 0M3  CTAF/UNICOM           122.800  0132487751122800  JOHN A BAKER FIELD  
 0M4  CTAF/UNICOM           122.800  0132487752122800  BENTON CO           
 0M5  CTAF/UNICOM           122.800  0132487753122800  HUMPHREYS CO        
 0M8  CTAF                  122.900  0132487756122900  BYERLEY             
 0M9  CTAF                  122.900  0132487757122900  DELHI MUNI          
 0O2  CTAF                  122.900  0132487950122900  BAKER               
 0Q5  CTAF                  122.900  0132488153122900  Shelter Cove        
 0R0  CTAF/UNICOM           122.800  0132488248122800  COLUMBIA MARION CO  
 0R1  CTAF/UNICOM           122.800  0132488249122800  ATMORE MUNI         
 0R3  CTAF/UNICOM           122.800  0132488251122800  ABBEVILLE CHRIS CRUSTA MEM
